date;Crest_share;step.ADA
01-01-1953;0.11;0
08-01-1953;0.17;0
15-01-1953;0.13;0
22-01-1953;0.12;0
29-01-1953;0.12;0
05-02-1953;0.18;0
12-02-1953;0.16;0
19-02-1953;0.12;0
26-02-1953;0.14;0
05-03-1953;0.14;0
12-03-1953;0.12;0
19-03-1953;0.13;0
26-03-1953;0.12;0
02-04-1953;0.13;0
09-04-1953;0.07;0
16-04-1953;0.09;0
23-04-1953;0.14;0
30-04-1953;0.12;0
07-05-1953;0.11;0
14-05-1953;0.08;0
21-05-1953;0.13;0
28-05-1953;0.14;0
04-06-1953;0.12;0
11-06-1953;0.12;0
18-06-1953;0.1;0
25-06-1953;0.08;0
02-07-1953;0.09;0
09-07-1953;0.09;0
16-07-1953;0.1;0
23-07-1953;0.08;0
30-07-1953;0.1;0
06-08-1953;0.09;0
13-08-1953;0.06;0
20-08-1953;0.05;0
27-08-1953;0.07;0
03-09-1953;0.09;0
10-09-1953;0.09;0
17-09-1953;0.12;0
24-09-1953;0.15;0
01-10-1953;0.08;0
08-10-1953;0.11;0
15-10-1953;0.09;0
22-10-1953;0.17;0
29-10-1953;0.16;0
05-11-1953;0.08;0
12-11-1953;0.12;0
19-11-1953;0.1;0
26-11-1953;0.1;0
03-12-1953;0.13;0
10-12-1953;0.15;0
17-12-1953;0.14;0
24-12-1953;0.09;0
31-12-1953;0.09;0
07-01-1954;0.17;0
14-01-1954;0.11;0
21-01-1954;0.1;0
28-01-1954;0.1;0
04-02-1954;0.09;0
11-02-1954;0.13;0
18-02-1954;0.12;0
25-02-1954;0.14;0
04-03-1954;0.11;0
11-03-1954;0.11;0
18-03-1954;0.1;0
25-03-1954;0.13;0
01-04-1954;0.16;0
08-04-1954;0.15;0
15-04-1954;0.1;0
22-04-1954;0.13;0
29-04-1954;0.13;0
06-05-1954;0.17;0
13-05-1954;0.18;0
20-05-1954;0.17;0
27-05-1954;0.21;0
03-06-1954;0.22;0
10-06-1954;0.16;0
17-06-1954;0.2;0
24-06-1954;0.2;0
01-07-1954;0.25;0
08-07-1954;0.15;0
15-07-1954;0.13;0
22-07-1954;0.24;0
29-07-1954;0.19;0
05-08-1954;0.15;0
12-08-1954;0.22;0
19-08-1954;0.18;0
26-08-1954;0.14;0
02-09-1954;0.21;0
09-09-1954;0.13;0
16-09-1954;0.14;0
23-09-1954;0.19;0
30-09-1954;0.19;0
07-10-1954;0.11;0
14-10-1954;0.23;0
21-10-1954;0.15;0
28-10-1954;0.16;0
04-11-1954;0.11;0
11-11-1954;0.16;0
18-11-1954;0.05;0
25-11-1954;0.11;0
02-12-1954;0.08;0
09-12-1954;0.19;0
16-12-1954;0.15;0
23-12-1954;0.14;0
30-12-1954;0.09;0
06-01-1955;0.18;0
13-01-1955;0.21;0
