DATE,Domestic,Transnational
01/01/1970,15,8
01/04/1970,11,11
01/07/1970,13,6
01/10/1970,11,8
01/01/1971,8,4
01/04/1971,13,6
01/07/1971,13,4
01/10/1971,6,13
01/01/1972,6,15
01/04/1972,6,17
01/07/1972,2,21
01/10/1972,6,30
01/01/1973,19,17
01/04/1973,11,17
01/07/1973,19,21
01/10/1973,51,17
01/01/1974,21,17
01/04/1974,23,32
01/07/1974,23,30
01/10/1974,38,30
01/01/1975,32,19
01/04/1975,19,8
01/07/1975,38,17
01/10/1975,55,30
01/01/1976,53,32
01/04/1976,61,36
01/07/1976,25,63
01/10/1976,49,32
01/01/1977,61,34
01/04/1977,84,27
01/07/1977,40,11
01/10/1977,61,33
01/01/1978,77,11
01/04/1978,72,25
01/07/1978,63,19
01/10/1978,123,23
01/01/1979,185,31
01/04/1979,211,36
01/07/1979,141,19
01/10/1979,49,48
01/01/1980,194,36
01/04/1980,245,56
01/07/1980,167,35
01/10/1980,180,47
01/01/1981,146,46
01/04/1981,150,41
01/07/1981,124,35
01/10/1981,159,49
01/01/1982,107,27
01/04/1982,121,30
01/07/1982,99,32
01/10/1982,102,24
01/01/1983,129,25
01/04/1983,123,14
01/07/1983,120,23
01/10/1983,157,25
01/01/1984,139,39
01/04/1984,181,31
01/07/1984,188,25
01/10/1984,163,21
01/01/1985,109,35
01/04/1985,194,20
01/07/1985,158,30
01/10/1985,145,14
01/01/1986,193,27
01/04/1986,191,35
01/07/1986,164,19
01/10/1986,91,35
01/01/1987,129,10
01/04/1987,235,16
01/07/1987,255,22
01/10/1987,222,23
01/01/1988,310,33
01/04/1988,318,30
01/07/1988,270,14
01/10/1988,295,23
01/01/1989,308,26
01/04/1989,284,41
01/07/1989,397,35
01/10/1989,347,35
01/01/1990,265,46
01/04/1990,375,25
01/07/1990,298,25
01/10/1990,235,26
01/01/1991,167,56
01/04/1991,181,18
01/07/1991,238,43
01/10/1991,213,28
01/01/1992,257,42
01/04/1992,247,36
01/07/1992,282,39
01/10/1992,261,39
01/01/1993,331,56
01/04/1993,304,59
01/07/1993,277,61
01/10/1993,249,64
01/01/1994,196,55
01/04/1994,147,56
01/07/1994,120,54
01/10/1994,186,30
01/01/1995,148,30
01/04/1995,137,22
01/07/1995,152,22
01/10/1995,143,32
01/01/1996,153,31
01/04/1996,153,26
01/07/1996,144,28
01/10/1996,153,23
01/01/1997,164,36
01/04/1997,164,30
01/07/1997,218,30
01/10/1997,195,28
01/01/1998,110,10
01/04/1998,60,13
01/07/1998,89,18
01/10/1998,96,14
01/01/1999,69,20
01/04/1999,51,15
01/07/1999,115,10
01/10/1999,92,17
01/01/2000,122,9
01/04/2000,88,24
01/07/2000,133,16
01/10/2000,118,11
01/01/2001,76,9
01/04/2001,74,8
01/07/2001,306,23
01/10/2001,121,8
01/01/2002,116,15
01/04/2002,105,16
01/07/2002,110,11
01/10/2002,81,13
01/01/2003,176,20
01/04/2003,80,20
01/07/2003,82,4
01/10/2003,52,8
01/01/2004,52,8
01/04/2004,113,15
01/07/2004,97,7
01/10/2004,48,6
01/01/2005,67,9
01/04/2005,99,8
01/07/2005,144,14
01/10/2005,82,12
01/01/2006,127,16
01/04/2006,155,22
01/07/2006,112,20
01/10/2006,96,14
01/01/2007,114,19
01/04/2007,217,31
01/07/2007,145,13
01/10/2007,235,14
01/01/2008,169,32
01/04/2008,133,25
01/07/2008,105,11
01/10/2008,93,20
01/01/2009,103,17
01/04/2009,151,9
01/07/2009,191,14
01/10/2009,147,10
01/01/2010,121,13
01/04/2010,157,8
01/07/2010,204,9
01/10/2010,129,20
